UserID,DOC,DOB,AGE,GENDER,EDUCATION,INCOME,UFES1,UFES2,UFES3,UFES4,CSIP1,CSIP2,CSIP3,CSIP4,CSIP5,CSIP6,CSIP7,CSIP8,CSIP9,CSIP10,CSIP11,CSIP12,CSIP13,CSIP14,CSIP15,CSIP16,CSIP17,CSIP18,CSIP19,CSIP20,CSIP21,CSIP22,CSIP23,CSIP24,CSIP25,CSIP26,CSIP27,CSIP28,CSIP29,CSIP30,CSIP31,CSIP32,CSIP33,CSIP34,CSIP35,CSIP36,CSIP37,CSIP38,CSIP39,CSIP40,CSIP41,CSIP42,CSIP43,CSIP44,CSIP45,CSIP46,CSIP47,CSIP48,CSIP49,CSIP50,CSIP51,CSIP52,CSIP53,CSIP54,CSIP55,CSIP56,CSIP57,CSIP58,CSIP59,CSIP60,CSIP61,CSIP62,CSIP63,CSIP64
19079319,6/27/2019 22:30,9/22/2000 0:00,19.27,0,4,1,0,0,1,0,1,0,1,2,2,2,2,1,0,0,1,3,3,3,0,0,0,0,0,3,3,2,0,0,0,0,1,1,3,1,2,0,0,1,0,1,1,1,1,0,0,1,1,1,2,0,2,0,0,2,3,3,3,2,0,0,0,0,1,3,2,3,1,0
19309179,6/28/2019 13:07,1/27/2000 0:00,19.93,0,4,3,0,0,1,0,1,2,0,0,3,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,1,0,1,0,0,0,2,1,1
21528281,7/3/2019 13:09,4/1/1977 0:00,42.75,1,6,3,0,0,1,0,0,1,0,1,1,1,2,2,0,0,2,1,1,1,2,1,0,0,0,0,1,1,1,2,1,0,2,1,0,2,2,2,1,1,2,1,1,1,2,0,0,0,1,1,1,1,1,0,1,2,2,1,0,0,2,2,1,0,0,1,0,3,0,0
22914092,6/26/2019 8:34,7/24/1984 0:00,35.44,0,6,3,0,0,0,1,2,0,1,0,2,2,1,0,0,1,0,1,1,0,1,0,0,0,0,2,1,1,0,0,2,0,2,1,2,3,3,0,0,1,0,1,0,1,3,0,0,0,0,2,2,2,0,1,0,0,1,3,2,0,1,1,0,0,0,1,2,3,2,3
25751692,6/26/2019 8:03,5/13/1968 0:00,51.64,0,6,4,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,2,1,3,2,0,0,0,1,0,0,0,3,1,0,0,0,0,3,3,0,1,0,0,0,1,1,3,0,0,0,0,0,0,3,1,0,0,0,2,3,2,0,3,3,2,0,2,2,0,3,2,1
27025648,6/25/2019 22:40,11/24/1992 0:00,27.1,0,5,4,1,0,0,0,2,1,1,3,3,3,3,0,0,0,1,3,3,3,3,0,1,0,1,2,3,3,3,0,0,0,2,1,0,0,2,2,0,2,1,3,3,3,3,0,0,0,2,2,3,2,0,0,1,2,2,3,2,0,3,2,0,1,2,3,3,3,1,0
28418935,7/1/2019 9:02,7/2/1987 0:00,32.5,0,6,2,0,0,1,0,3,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,0,1,1,1,1,2,0,2,1,1,1,1,0,1,1,1,2,1,0,0,1,1,1,1,0,1,1,0,1,1,2,1,1,1,1,1,1,2,1
29398327,6/29/2019 15:40,6/14/1998 0:00,21.55,0,4,2,0,0,1,0,1,1,0,1,1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,2,0,0,0,2,1,1,1,1,1,0,0,1,1,1,2,0,0
36354612,6/27/2019 10:11,2/5/1959 0:00,60.9,0,6,4,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0
39832881,6/27/2019 8:27,12/2/1999 0:00,20.08,0,4,1,0,0,1,0,2,2,1,3,3,3,0,0,0,2,1,3,3,2,1,0,0,0,1,2,2,0,3,0,1,1,2,1,2,2,3,1,0,3,3,3,3,2,1,0,1,1,2,2,1,2,1,0,0,1,1,3,1,2,1,0,1,0,2,3,2,1,3,0
44711680,7/8/2019 19:05,9/14/1979 0:00,40.3,0,5,3,0,0,1,0,1,1,0,0,2,0,0,0,0,1,1,0,3,0,0,1,2,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,0,1,0,0,0,0
53897793,6/26/2019 6:59,7/15/1957 0:00,62.46,0,6,4,0,1,0,0,2,1,1,0,0,0,2,2,2,2,0,0,0,0,1,1,2,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,3,0,0,0,1,1,1,1
54193464,6/26/2019 12:31,1/22/1984 0:00,35.94,0,6,4,0,1,0,0,3,1,1,1,0,3,2,0,0,0,3,2,0,3,1,3,0,0,0,0,0,0,0,2,0,1,1,0,0,1,3,0,1,2,2,1,1,3,1,1,1,0,0,0,0,1,3,2,0,0,0,1,3,1,2,2,1,0,1,0,2,2,3,2
54983970,6/26/2019 10:35,10/9/1961 0:00,58.23,1,6,4,1,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,2,1,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
56451728,6/26/2019 14:32,7/4/1973 0:00,46.49,0,6,4,0,0,0,1,3,3,2,0,0,0,2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,2,2,1,1,0,0,0,0,1,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,1,1,1,0,0,0,0,1,0
58705120,6/27/2019 21:02,1/22/2001 0:00,18.94,0,3,1,0,1,0,0,0,2,0,3,1,3,3,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0
60218780,6/26/2019 13:58,10/9/1995 0:00,24.23,1,4,4,0,0,1,0,3,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,2,0,0,0,1,1,1,1,0,2,1,1,1,1,0,1,1,1,0,0,2,1,1,2,2,2,1,0,1,1,0,0,1
65892291,6/29/2019 11:02,8/3/1998 0:00,21.41,1,3,4,0,0,1,0,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0
66656943,6/26/2019 13:16,12/26/1996 0:00,23.01,0,4,3,0,0,1,0,1,0,3,2,3,1,3,1,0,0,3,3,3,2,2,0,0,0,1,3,2,1,1,0,1,0,3,2,2,3,3,1,0,2,3,3,2,0,3,0,0,0,2,1,0,1,1,0,0,1,3,3,1,1,2,1,1,0,1,3,1,0,2,0
72694841,6/27/2019 12:55,9/2/1996 0:00,23.33,0,4,1,0,0,1,0,2,0,1,0,3,0,2,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,1,3,1,0,0,0,1,3,3,1,0,1,0,2,1,1,2,0,0,0,0,1,1,2,3,1,0,0,3,0,2,1,2,2,1,0,1,1,3,1,3,0
72820843,6/27/2019 12:29,10/4/2000 0:00,19.24,0,3,2,0,0,1,0,1,0,1,2,3,1,2,0,1,1,2,3,3,1,3,0,0,0,0,2,1,0,1,0,0,0,0,1,1,3,2,0,0,1,2,2,3,0,2,0,0,0,1,2,2,0,3,0,0,1,0,3,0,0,1,0,0,1,0,3,0,2,1,0
77612620,7/30/2019 17:16,11/4/1980 0:00,39.16,0,6,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
78774215,6/27/2019 18:42,5/29/2000 0:00,19.59,1,4,4,0,0,1,0,0,0,1,0,1,3,3,3,0,2,1,0,0,1,3,3,1,0,1,2,2,3,1,3,3,0,0,0,3,3,2,0,3,0,3,1,1,3,0,2,0,2,0,3,3,3,3,0,3,0,0,0,0,2,1,0,0,0,0,0,3,2,0,3
78886504,6/27/2019 6:02,1/19/2000 0:00,19.95,1,3,1,0,0,1,0,0,1,1,2,2,3,3,2,0,0,0,2,3,3,3,2,2,0,0,0,2,1,3,0,0,0,1,0,0,3,3,0,0,1,0,0,2,3,2,0,0,0,0,0,0,2,1,1,0,2,1,3,0,3,3,0,0,0,0,3,1,2,3,0
82853646,6/30/2019 10:42,6/20/1987 0:00,32.53,0,6,1,0,0,1,0,1,2,3,0,3,1,2,0,1,1,2,0,1,1,1,2,2,0,0,1,1,0,0,2,0,0,0,0,1,3,2,0,0,1,3,2,3,2,1,3,3,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,3,1,1,1,2,1
83223580,6/30/2019 14:09,9/26/1997 0:00,22.26,1,4,1,0,0,1,0,1,1,1,2,3,1,2,2,0,1,2,2,3,2,2,1,2,1,1,2,0,0,2,1,2,1,1,1,0,3,2,0,0,2,3,3,3,2,1,0,1,1,1,1,1,2,1,2,2,2,1,3,2,2,2,2,2,2,1,2,1,3,2,1
86955480,6/26/2019 12:33,6/27/1997 0:00,22.51,0,4,3,0,0,1,0,2,1,0,0,0,2,0,0,0,2,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,0,0,2,2,0,0,1,1,0,0,1,1,0,2
87404529,6/26/2019 9:01,8/23/1985 0:00,34.36,1,6,4,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,2,0,0,0,1,0,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,3,2,3,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,1
87788450,6/26/2019 9:53,4/27/1963 0:00,56.68,0,6,4,0,0,0,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,3,3,3,2,3,3,2,3
90884302,6/26/2019 7:12,12/16/1986 0:00,33.04,1,6,3,0,0,1,0,0,0,1,3,3,2,3,2,0,0,2,3,3,2,3,2,2,0,0,3,2,3,3,0,0,0,3,2,2,3,3,3,0,3,3,3,3,3,3,2,1,0,3,3,3,3,3,0,0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1
91163430,6/27/2019 7:43,4/9/1991 0:00,28.73,1,6,4,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
92097160,6/27/2019 12:47,10/27/1994 0:00,25.18,1,5,1,0,0,1,0,1,1,2,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,2,2,0,1,0,0,1,1,0,1,0,2,1,1,0,0,1,0,0,1,1,1,0,0,0,2,1,2,0,0,0,1,1,0,0,1,0,0,0,3,1
93720099,6/26/2019 8:27,6/24/1987 0:00,32.52,1,6,3,0,0,1,0,1,0,2,2,2,0,0,0,0,0,2,2,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,2,1,2,3,0,0,2,1,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,0,0,0,0,1,2,3,0,0,0,0
97678829,6/25/2019 22:21,6/20/1991 0:00,28.53,0,6,3,0,0,1,0,0,1,0,1,2,1,2,1,0,0,1,1,1,2,0,2,0,1,0,0,2,1,2,1,0,0,1,0,2,1,1,0,0,0,0,0,2,2,1,0,0,0,2,2,2,1,1,0,0,0,2,1,3,2,0,1,1,0,0,1,0,1,0,0
99735061,6/27/2019 9:43,5/10/1988 0:00,31.64,0,6,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101887777,6/28/2019 11:31,1/22/1959 0:00,60.94,1,6,4,0,0,0,1,2,0,1,0,0,2,2,0,0,0,1,1,0,0,2,2,1,1,0,1,0,2,3,2,0,0,2,0,1,1,3,1,0,1,0,0,2,0,3,0,2,0,1,0,0,3,3,2,0,1,1,0,0,1,3,2,0,1,1,0,1,1,0,0
102314252,6/26/2019 14:17,5/10/1989 0:00,30.64,0,6,3,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,3,3,2
105544512,6/28/2019 6:39,2/8/1999 0:00,20.9,0,4,1,0,0,1,0,0,1,2,3,3,0,0,0,0,2,3,3,1,0,0,0,0,2,0,3,2,0,0,0,0,0,3,2,0,0,0,0,0,3,3,3,3,0,0,0,0,2,3,1,3,0,0,0,0,2,3,3,0,2,0,0,0,3,2,3,1,0,1,0
105668891,6/27/2019 8:47,3/17/1980 0:00,39.79,0,6,4,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,2,0,1,0,1,0,2,1,1,0,0,1,1,1,1,0,2,1,0,1,1,0,0,2,0,0
106584593,6/27/2019 18:37,2/20/1982 0:00,37.86,1,6,4,0,0,1,0,3,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,0,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,2
108979247,6/26/2019 7:11,5/16/1965 0:00,54.63,1,6,4,0,0,0,1,1,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,2
109830591,6/25/2019 21:02,4/10/1990 0:00,29.73,0,6,3,0,0,1,0,2,2,3,2,2,3,3,0,0,1,3,3,2,2,2,0,0,0,1,3,0,1,1,0,1,1,1,1,1,3,3,0,1,2,0,1,3,1,2,0,0,0,1,2,2,1,2,1,0,1,3,3,3,3,3,3,3,2,3,2,1,3,1,0
113429004,6/26/2019 18:04,12/15/1981 0:00,38.05,0,4,3,0,0,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,1,1,3,0,0,0,0,1,1,1,2,0,0,0,0,0,2,2,0,0,1,0,0,1,3,3,1,0,0,0,0,1,1,3,0,0,0,0,0,1,1,3,3,0,0,0,0,2,2,2,0
113473719,6/26/2019 13:00,8/7/1998 0:00,21.4,0,4,1,0,0,1,0,2,1,3,3,3,2,3,0,1,1,3,3,3,3,1,0,2,0,2,3,3,2,3,0,1,0,3,3,3,3,3,0,1,3,3,3,3,3,2,0,3,1,3,3,3,1,0,0,1,2,3,3,3,2,1,0,1,3,3,2,2,3,0,0
114198345,6/26/2019 9:20,10/16/1999 0:00,20.21,0,6,3,0,0,1,0,0,0,2,1,3,1,2,0,0,1,2,3,2,2,3,0,0,0,1,3,3,2,3,1,0,0,0,0,0,1,1,0,0,2,0,1,3,0,3,0,1,1,0,1,2,2,0,0,0,2,3,2,0,0,1,1,0,0,3,1,2,3,1,2
114543655,6/26/2019 18:39,12/16/1958 0:00,61.04,0,6,3,0,0,1,0,3,3,3,2,3,2,2,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,3,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0
123222523,7/1/2019 17:22,12/3/1997 0:00,22.08,0,4,4,0,0,1,0,0,0,1,3,2,2,1,0,0,1,3,3,3,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1,2,3,1,0,0,1,2,2,3,3,2,0,0,0,0,1,2,2,2,0,0,0,2,3,3,3,1,1,0,1,1,3,3,2,0,0
125077295,6/27/2019 13:26,7/11/1978 0:00,41.48,0,6,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0
126306216,6/25/2019 22:30,11/1/1993 0:00,26.17,1,6,1,0,0,1,0,1,0,2,0,2,0,2,2,0,1,3,1,1,0,3,2,0,2,2,0,2,3,0,3,0,2,0,1,1,2,0,0,3,2,3,2,3,1,1,0,0,2,2,2,0,2,1,2,3,3,3,3,2,1,1,2,3,3,3,2,1,1,0,1
131248765,6/26/2019 18:54,8/28/2000 0:00,19.34,0,4,0,0,1,0,0,0,0,2,3,3,2,2,2,0,0,1,3,3,2,1,2,1,2,0,3,3,2,2,2,0,0,2,2,3,3,3,1,0,2,3,3,3,2,3,1,0,0,1,1,2,1,1,1,0,1,3,3,2,3,2,2,1,2,2,3,3,3,3,0
137533173,6/27/2019 8:59,10/13/1991 0:00,28.22,0,6,2,0,0,1,0,2,3,2,2,3,3,3,1,3,3,2,3,2,3,2,2,3,3,2,1,1,0,0,1,3,3,2,3,2,3,1,2,3,3,3,3,2,3,2,3,3,3,3,3,2,0,1,3,3,0,3,2,2,3,1,2,3,1,1,0,1,3,1,3
138532306,6/26/2019 14:02,4/16/1985 0:00,34.71,1,6,4,1,0,0,0,2,2,3,3,1,2,2,0,0,2,3,3,2,2,1,0,1,1,1,2,2,1,0,0,1,0,2,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,2,1,1,1,1,2,0,2,2,2,1,1,2,2,2,1,2,1,1,1,2,0
139237071,6/30/2019 19:26,9/18/2000 0:00,19.29,1,4,4,0,0,1,0,0,0,0,2,1,0,0,1,0,0,2,3,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,2,3,3,0,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,2,0,0,1,0
142326240,6/26/2019 18:40,6/15/1988 0:00,31.55,0,6,4,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
143426586,6/27/2019 7:42,7/12/1986 0:00,33.47,0,6,2,0,0,1,0,0,0,0,0,2,1,3,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,1
145144978,6/27/2019 20:15,6/8/1982 0:00,37.57,0,5,2,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,3,3,2,0,0,0,2,0,3,3,2,0,2,0,0,2,1,0,2,1,0,0,0,0,2,0,1,0,0,0,0,3,3,0,1,3,0,1,1,0,2,0,0,0,0,0,1,1,3,3
149834023,6/29/2019 4:10,6/12/1995 0:00,24.56,0,5,4,0,0,1,0,0,0,0,0,3,3,1,1,0,1,0,0,2,2,1,2,1,0,0,1,3,1,0,3,0,0,0,0,3,3,1,0,0,0,0,1,3,1,2,0,0,0,0,0,3,0,1,2,0,0,0,1,3,3,1,0,0,0,0,1,1,2,2,0
150284731,6/26/2019 11:34,8/5/1978 0:00,41.41,0,3,2,0,0,0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2,2,3,3,3,2,2,0,0,1,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,3,2,1,1,2,3,2,3
150690074,6/27/2019 0:20,4/15/1993 0:00,26.71,0,6,1,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0
150695848,6/26/2019 16:30,9/10/1982 0:00,37.31,0,6,4,0,0,1,0,0,0,2,3,2,2,3,0,0,0,1,3,3,2,0,0,1,0,0,1,0,1,1,0,0,0,2,3,3,3,2,0,0,1,1,2,3,1,1,0,0,0,1,0,1,2,2,0,0,1,3,1,1,1,0,0,0,0,0,3,3,0,0,0
153098732,6/30/2019 19:24,4/20/2000 0:00,19.7,0,4,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,0,0,0,0,2,1,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
153688891,6/27/2019 12:17,2/7/1980 0:00,39.9,0,6,3,0,0,1,0,1,0,2,0,2,1,1,0,0,1,1,0,2,1,0,1,1,2,0,2,1,0,0,0,0,0,0,0,1,3,3,2,1,1,1,0,3,1,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,0,0,3,0,2,1,1,0,1,1,0
157841674,6/25/2019 21:36,5/4/1993 0:00,26.66,1,6,4,0,1,1,0,0,1,1,1,2,3,0,2,0,1,1,1,2,2,1,2,0,3,1,2,0,1,3,0,2,0,2,1,3,3,1,0,0,2,3,1,2,2,0,0,0,2,2,3,2,0,0,2,0,1,3,2,3,0,1,0,1,2,1,3,1,3,1,0
160476522,6/26/2019 11:35,3/19/1995 0:00,24.79,0,6,3,0,0,1,0,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,3,1,1,1,0,0,0,1,2,2,1,1,0,0,0,1,2
