UserID,DOC,DOB,AGE,GENDER,EDUCATION,INCOME,CSIP_TEXT,CSIP_VAL1,CSIP_VAL2,CSIP_VAL3,CSIP_VAL,CSIP1,CSIP2,CSIP3,CSIP4,CSIP5,CSIP6,CSIP7,CSIP8,CSIP9,CSIP10,CSIP11,CSIP12,CSIP13,CSIP14,CSIP15,CSIP16,CSIP17,CSIP18,CSIP19,CSIP20,CSIP21,CSIP22,CSIP23,CSIP24,CSIP25,CSIP26,CSIP27,CSIP28,CSIP29,CSIP30,CSIP31,CSIP32,CSIP33,CSIP34,CSIP35,CSIP36,CSIP37,CSIP38,CSIP39,CSIP40,CSIP41,CSIP42,CSIP43,CSIP44,CSIP45,CSIP46,CSIP47,CSIP48,CSIP49,CSIP50,CSIP51,CSIP52,CSIP53,CSIP54,CSIP55,CSIP56,CSIP57,CSIP58,CSIP59,CSIP60,CSIP61,CSIP62,CSIP63,CSIP64,CSIP8a,CSIP19a,CSIP32a,CSIP34a,CSIP44a,CSIP54a,RETEST1,RETEST2,PASS
22212366,,2/21/1998 0:00,22.12,,,,1,1,1,1,3,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,2,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,1,0,0,1,3,1,1,0,2,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1
39495363,3/5/2020 10:38,6/24/1999 0:00,20.78,0,4,0,1,0,0,0,0,0,0,1,3,3,1,3,3,1,0,3,3,3,1,2,2,0,0,0,2,3,0,0,0,0,0,3,3,2,2,3,0,0,2,1,3,0,0,3,0,0,0,2,2,1,1,0,0,0,1,2,2,2,0,1,2,0,0,2,3,3,2,3,0,1,1,0,2,3,0,0,0,0
39679398,3/4/2020 18:54,12/21/1972 0:00,47.29,1,4,0,1,1,1,1,3,2,3,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41631419,3/4/2020 10:39,7/18/1998 0:00,21.71,0,4,2,1,1,1,1,3,1,1,0,0,1,2,2,2,1,0,0,1,1,1,1,2,1,2,1,3,1,2,2,1,1,0,0,1,2,3,3,1,0,0,0,2,1,1,3,1,1,1,0,1,2,2,2,1,1,1,0,1,2,1,3,1,1,0,0,1,2,3,3,0,3,0,3,1,0,0,0,0,1
42894859,3/4/2020 11:01,4/3/1998 0:00,22,1,4,4,1,1,1,0,2,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1
44674015,,6/26/1999 0:00,20.77,,,,1,1,1,1,3,3,2,3,1,2,2,1,0,3,3,3,3,2,2,1,2,2,0,1,3,1,0,0,1,3,3,3,2,3,3,2,0,0,1,3,3,3,2,1,2,2,1,1,2,2,1,3,2,3,0,1,3,3,3,1,1,1,2,3,1,1,2,2,2,1,0,0,3,2,2,0,1,1
44913475,3/3/2020 22:22,8/21/1952 0:00,67.62,1,5,1,1,1,1,1,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46490609,3/5/2020 0:08,11/26/2001 0:00,18.35,1,4,2,1,1,1,1,3,0,0,0,2,3,0,2,1,0,0,3,3,3,0,2,0,1,0,0,2,0,1,2,0,0,0,1,2,2,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,1,1
47224602,3/3/2020 16:38,2/23/1990 0:00,30.11,1,6,4,1,1,1,1,3,1,0,2,1,1,0,2,1,0,0,1,2,2,1,2,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,2,0,0,1,2,0,0,2,0,0,0,1,0,0,2,1,0,0,0,2,2,0,0,2,3,1,1,2,2,1,0,0,0,2,0,1,0,0,1,0,0,1
48923280,3/4/2020 13:51,6/12/1997 0:00,22.81,0,5,0,1,1,1,0,2,1,0,1,1,2,2,2,3,0,0,0,1,1,1,1,3,1,0,0,0,0,2,2,3,1,0,0,0,2,2,3,1,0,0,2,0,1,1,3,1,0,0,1,1,2,2,2,1,1,0,0,1,3,2,3,0,0,0,0,1,2,2,2,1,3,0,1,1,1,2,2,1,1
53792919,,5/15/1987 0:00,32.89,,,,1,1,1,1,3,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
59834652,,5/13/2001 0:00,18.89,,,,1,1,1,1,3,0,0,2,1,0,1,3,1,0,0,2,1,1,1,1,1,0,0,0,0,3,2,0,3,0,0,2,0,2,3,3,2,0,0,2,1,2,1,1,0,0,0,2,1,2,1,3,1,0,0,3,0,3,1,2,0,1,3,3,0,2,3,0,0,1,1,0,0,0,1,0,0,1
60030065,3/4/2020 23:37,9/26/2000 0:00,19.52,1,4,1,1,1,1,0,2,0,1,2,0,1,3,2,0,0,1,3,1,1,3,3,3,0,0,1,0,1,1,3,2,0,1,0,1,2,2,0,1,0,1,3,0,3,3,2,2,0,0,0,2,1,2,3,1,0,1,0,0,1,3,3,2,0,1,1,1,2,3,0,1,0,1,2,1,2,3,0,0,1
61654127,3/3/2020 14:28,9/6/1956 0:00,63.58,0,6,4,1,1,1,1,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
62170953,,10/30/1999 0:00,20.43,,,,1,1,1,0,2,0,2,2,2,3,0,1,0,0,0,2,3,2,0,0,1,1,0,1,3,1,0,1,1,0,1,2,1,0,1,1,0,0,2,1,3,1,0,2,0,1,1,2,1,0,2,1,1,0,1,2,3,1,0,1,0,0,3,3,2,0,0,1,0,0,0,0,2,0,0,0,0,1
63345635,3/29/2020 19:05,4/4/1963 0:00,57,0,4,0,1,0,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
65725593,,1/31/2002 0:00,18.17,,,,1,0,0,1,1,0,0,1,1,1,0,3,1,0,0,3,1,3,1,2,0,0,3,0,0,1,3,2,0,0,0,1,1,0,2,0,0,0,0,0,3,1,1,3,0,0,0,1,0,2,2,0,0,0,0,3,3,3,0,2,1,0,1,1,3,1,2,1,0,2,0,1,1,0,0,0,1,0
67698958,3/4/2020 9:33,4/13/1992 0:00,27.98,1,6,0,1,1,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,0,1,0,0,3,0,0,0,0,0,1
69246685,3/6/2020 16:10,8/23/1999 0:00,20.62,0,4,2,1,1,1,1,3,0,0,2,2,3,1,2,0,0,1,3,2,3,1,1,0,0,0,1,1,3,1,2,1,0,0,1,2,0,1,0,0,1,0,2,3,2,1,2,0,0,2,1,3,1,1,0,1,0,0,3,2,3,1,2,1,0,1,1,2,1,2,1,0,1,1,0,1,3,1,0,2,1
71110608,,3/8/1973 0:00,47.07,,,,0,1,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,1,0,3,3,3,3,3,3,0,0,3,0,2,0,0,2,0,0,2,0,0,0,1,3,2,0,0,0,3,0,0,1,1,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,0
74101214,3/5/2020 20:04,8/14/1998 0:00,21.64,0,4,2,1,1,1,1,3,1,1,1,2,1,2,2,0,1,0,1,1,1,2,2,1,0,0,0,1,0,1,0,3,0,0,2,1,2,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,3,0,0,0,1,2,2,2,1,1,1,0,1,2,3,3,0,0,0,0,0,0,1,1,0,0,1
74219125,,6/25/2001 0:00,18.78,,,,1,1,1,1,3,0,0,1,2,3,3,3,1,0,1,0,3,3,2,1,1,0,0,0,2,2,2,0,2,1,0,0,1,3,2,1,0,0,1,0,3,3,3,2,0,0,0,1,2,3,1,2,0,0,1,1,3,2,1,0,0,0,1,3,3,3,3,3,0,1,1,0,2,2,2,0,1,1
77699825,3/3/2020 16:10,9/7/1965 0:00,54.57,0,6,4,1,0,1,1,2,1,0,2,1,0,0,3,2,0,0,0,2,1,0,2,2,0,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0,0,1,0,2,0,2,2,0,0,0,0,1,0,2,3,0,0,1,1,0,0,1,2,1,0,0,1,1,1,3,2,1,1,1,0,1,0,0,2,2,1
78746743,3/12/2020 8:47,2/4/2001 0:00,19.16,1,4,1,1,0,1,1,2,0,0,3,3,2,3,1,0,0,2,3,3,3,2,3,0,0,0,0,2,2,0,3,0,2,0,3,2,3,3,2,2,0,3,3,3,2,2,2,1,0,1,3,3,2,3,1,0,2,1,3,2,1,1,1,2,3,0,1,3,3,0,0,1,2,0,1,1,3,1,2,1,1
80360585,3/3/2020 22:49,5/23/1991 0:00,28.87,0,6,3,1,1,1,0,2,1,2,3,3,3,2,2,1,0,1,1,3,3,3,1,0,0,0,0,1,3,2,2,2,0,1,3,2,3,3,2,0,0,0,1,3,3,2,1,0,0,1,2,2,3,2,0,0,1,2,3,2,3,2,2,1,2,1,2,3,3,2,1,0,1,1,0,1,2,3,0,0,1
85088140,,5/3/2000 0:00,19.92,,,,1,1,1,1,3,0,1,0,2,3,2,1,1,0,0,1,1,1,2,1,2,0,0,0,1,3,2,1,2,0,0,1,1,3,2,1,0,0,0,1,1,2,1,2,1,0,0,1,1,3,1,2,0,0,1,1,1,2,1,0,1,0,3,2,1,3,2,3,0,1,2,0,2,1,1,0,0,1
85612945,,8/6/1986 0:00,33.66,,,,1,1,1,0,2,1,2,3,3,3,2,2,3,0,0,2,3,2,3,2,0,1,1,0,3,2,0,3,0,0,0,1,2,3,3,1,0,0,1,1,3,2,3,3,0,0,0,2,3,3,3,3,1,0,1,3,3,3,2,3,1,0,1,3,3,3,2,3,0,1,0,0,3,3,2,0,1,1
87359720,3/3/2020 14:21,7/5/1981 0:00,38.75,0,4,4,1,1,1,0,2,3,2,3,3,2,1,2,1,1,1,3,2,0,0,2,0,2,0,2,2,0,1,1,3,3,2,3,3,0,1,3,0,3,2,3,1,2,0,2,0,1,0,3,1,0,0,0,2,3,1,3,2,0,1,0,3,1,2,3,2,0,0,0,1,0,1,0,3,0,0,0,0,1
91407962,3/19/2020 22:30,7/28/1984 0:00,35.69,0,4,4,1,1,1,1,3,1,2,3,1,0,0,1,0,0,0,1,1,2,0,1,1,0,0,1,2,1,0,2,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1
94531236,3/5/2020 9:55,7/21/1997 0:00,22.7,1,5,1,1,1,1,1,3,0,0,0,1,1,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,3,2,0,0,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,3,2,2,0,0,0,2,1,3,0,0,0,0,0,0,1,0,2,0,0,1
97876056,3/4/2020 15:08,11/22/1991 0:00,28.37,1,6,3,1,1,1,1,3,0,0,3,3,2,0,2,1,0,1,0,3,1,1,2,2,0,0,0,3,0,0,0,0,1,2,3,2,0,0,0,0,1,3,3,3,0,1,1,0,0,2,3,1,0,2,0,0,0,3,3,3,3,0,3,3,0,0,3,0,0,0,2,0,1,2,0,3,0,0,0,1,1
98174934,3/5/2020 23:59,1/6/2001 0:00,19.24,1,4,3,1,0,0,1,1,0,1,1,2,0,0,1,1,0,1,1,2,2,1,0,0,0,0,2,3,0,1,2,0,0,0,1,2,0,1,2,0,0,2,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1,1,1,2,0,0,0,0,0
98895263,3/4/2020 7:15,12/6/1973 0:00,46.33,0,6,4,1,1,1,1,3,1,1,2,0,2,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,2,0,2,0,0,0,0,1,2,2,0,0,0,1,1,1,2,1,1,0,0,1,1,1,1,1,0,0,0,1,2,2,1,1,0,0,1,1,2,2,2,1,0,0,0,1,0,0,1,1,0,0,1
99830346,,12/20/1992 0:00,27.29,,,,1,1,1,1,3,2,0,0,0,0,3,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,3,1,2,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2,0,1,0,1,0,1,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1
100167108,3/4/2020 11:36,3/14/1997 0:00,23.06,0,4,3,1,1,1,0,2,0,0,1,1,3,2,3,3,0,1,0,1,3,2,3,2,1,0,0,2,1,2,3,0,0,1,0,2,2,2,3,0,0,1,2,1,3,2,3,1,0,0,1,1,2,1,3,1,0,0,0,3,2,1,3,1,0,1,2,2,2,2,3,0,2,0,0,1,1,0,0,1,1
102379062,3/5/2020 7:10,11/29/1996 0:00,23.35,0,3,4,1,1,1,1,3,2,1,0,3,3,3,3,1,1,2,3,2,3,2,2,3,2,1,2,1,2,1,2,1,1,0,1,3,3,3,3,2,0,1,1,2,3,2,1,0,1,0,1,3,3,1,0,1,0,2,2,3,3,3,1,0,0,3,3,3,3,3,2,1,0,0,1,3,3,3,0,2,1
103530329,3/6/2020 15:10,7/23/1999 0:00,20.7,0,4,4,1,1,1,0,2,0,0,0,3,1,1,2,0,0,0,2,3,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,2,0,1,0,2,2,0,0,2,0,0,0,1,0,0,0,3,0,1,0,3,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105247090,,11/7/1977 0:00,42.41,,,,1,1,1,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1,0,2,1,0,0,0,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,1,1,0,1,0,0,2,2,0,0,1,0,0,0,0,1,0,0,1
113427789,,9/16/1966 0:00,53.55,,,,1,1,1,1,3,0,1,2,2,1,2,3,3,0,0,2,3,2,2,1,1,2,0,1,2,3,0,1,0,1,0,1,2,3,1,3,0,0,2,2,2,2,1,3,0,0,0,1,0,1,3,1,2,0,0,3,3,3,1,2,2,0,2,3,3,1,1,3,0,1,2,0,3,1,1,2,1,1
126491124,3/3/2020 21:27,8/9/1993 0:00,26.65,1,4,0,1,0,0,0,0,1,1,3,2,3,2,2,0,0,1,3,3,2,1,3,0,1,2,2,2,3,3,0,0,0,1,3,2,2,2,3,0,0,3,3,3,2,2,1,0,0,1,3,2,3,1,0,2,0,3,3,1,3,1,1,0,1,3,3,1,2,2,2,2,1,2,0,3,2,1,0,2,0
129415905,3/5/2020 16:30,5/15/1999 0:00,20.89,1,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0
131141118,3/3/2020 14:00,10/1/1981 0:00,38.51,0,6,4,1,1,0,1,2,0,0,0,0,2,2,3,2,0,0,0,0,0,1,2,3,0,0,0,0,2,1,1,2,0,0,0,0,2,3,2,0,0,0,0,0,2,1,2,0,0,0,0,1,1,3,3,2,0,0,0,0,2,2,2,2,0,0,0,0,1,3,2,0,1,0,0,1,1,1,0,1,1
132303320,3/4/2020 13:08,8/18/1999 0:00,20.63,1,4,4,1,1,1,1,3,1,3,0,2,1,1,1,1,0,3,1,2,2,1,2,0,0,0,1,3,0,1,2,0,3,0,1,0,1,3,3,0,0,0,0,1,2,0,1,0,0,0,1,3,1,2,1,1,2,2,3,2,2,1,2,2,2,1,1,2,1,1,1,0,2,0,0,1,3,1,0,0,1
136070413,3/4/2020 15:47,11/5/1985 0:00,34.41,0,5,4,1,0,1,1,2,0,0,1,2,2,1,1,0,0,1,2,2,2,1,1,0,0,0,1,2,2,1,2,0,0,0,1,1,1,1,2,0,0,1,1,1,3,1,1,0,0,0,1,1,2,1,1,0,0,1,3,3,2,0,0,0,0,1,1,3,1,2,1,0,0,1,0,1,2,0,0,1,1
138647044,3/13/2020 6:18,2/16/1983 0:00,37.13,0,6,4,1,1,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
140290457,3/3/2020 17:18,11/13/1985 0:00,34.39,0,6,3,1,1,1,1,3,1,1,0,1,2,1,1,0,0,0,2,1,3,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,2,2,1,0,0,0,1,1,3,1,2,0,0,0,1,1,2,1,2,0,0,0,2,2,1,1,1,0,0,2,0,2,2,1,1,0,0,0,0,1,1,1,0,1,1
142360626,3/3/2020 23:43,9/2/1996 0:00,23.59,1,4,4,1,0,0,0,0,0,2,3,3,3,1,3,0,0,0,1,3,1,1,1,0,1,0,0,3,2,1,0,3,0,2,3,3,0,3,0,0,0,3,1,3,1,0,1,0,0,0,1,3,1,1,0,0,0,1,2,3,1,1,2,1,1,0,0,3,1,0,0,0,0,0,0,2,3,1,0,1,0
152439635,,8/6/1985 0:00,34.66,,,,1,1,1,0,2,3,2,2,1,2,0,1,2,2,3,3,2,1,0,2,1,3,0,1,3,0,0,0,3,3,1,1,0,0,2,3,0,3,2,1,3,3,2,3,2,2,1,2,0,1,2,1,3,3,2,3,2,0,0,2,3,3,0,3,0,0,0,1,3,0,1,0,1,0,0,0,0,1
153200094,3/3/2020 17:45,1/28/1982 0:00,38.18,0,6,4,1,1,1,1,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154577053,3/7/2020 18:20,11/18/1968 0:00,51.38,0,5,3,1,1,1,1,3,0,0,0,2,1,1,2,1,0,0,1,1,3,2,2,0,1,0,0,0,2,3,2,2,2,0,0,0,1,2,2,0,0,0,1,0,3,1,3,0,0,0,0,0,0,3,3,1,0,0,1,3,2,0,3,1,0,0,0,2,0,1,3,0,1,0,1,1,0,0,0,0,1
157124446,3/3/2020 12:37,12/17/1954 0:00,65.3,1,6,4,1,1,1,1,3,1,0,1,2,2,1,2,0,0,0,2,2,1,1,2,1,1,1,2,3,2,1,1,1,0,1,2,2,1,1,0,0,0,2,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,2,3,2,1,0,0,0,0,2,2,2,0,0,1,0,0,1,0,2,0,0,0,0,1
175261205,3/3/2020 21:05,8/21/1993 0:00,26.62,0,6,4,1,1,1,1,3,2,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,2,1,1,0,1,0,2,2,1,0,0,1,0,3,0,0,2,3,3,0,1,0,3,2,2,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
180471570,3/29/2020 1:59,7/23/1989 0:00,30.7,0,6,4,1,1,1,1,3,0,1,0,0,1,0,2,3,0,0,2,0,0,0,2,1,0,0,0,0,1,1,2,2,0,0,0,0,0,1,3,2,0,0,3,0,1,1,3,0,0,0,0,0,0,3,3,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,2,2,3,0,2,0,0,1,0,0,1
185184764,3/5/2020 6:27,9/27/1994 0:00,25.52,1,6,1,1,1,1,0,2,1,2,3,2,2,0,0,3,2,1,0,2,3,0,3,0,2,0,0,3,1,0,2,1,0,2,2,2,1,2,3,1,0,3,3,3,1,0,2,1,0,2,2,3,1,3,3,0,0,3,3,3,2,0,0,0,1,2,2,2,0,0,2,0,1,1,1,3,3,0,0,1,1
190093588,3/4/2020 10:28,2/14/1994 0:00,26.14,0,6,3,1,1,1,1,3,1,0,0,1,0,0,2,1,0,0,0,1,1,0,1,2,0,0,0,1,2,1,2,2,0,0,1,0,2,3,2,0,0,0,0,0,2,1,3,0,0,0,0,1,2,2,3,0,0,0,0,2,2,1,2,0,0,0,0,1,1,3,2,1,1,0,0,0,1,2,0,0,1
195885997,3/3/2020 19:02,11/8/1969 0:00,50.4,0,4,1,0,1,1,0,2,3,3,3,2,3,2,3,2,3,2,2,2,3,1,2,1,0,2,0,2,2,0,2,1,0,0,1,2,2,1,1,2,0,0,2,1,0,0,1,0,0,1,0,1,2,2,1,0,0,0,3,1,0,0,1,0,1,1,1,1,3,3,2,0,2,1,1,0,1,0,0,0,0
198728151,3/4/2020 10:35,7/12/1999 0:00,20.73,1,4,2,1,1,1,0,2,0,1,2,3,3,2,1,2,0,1,1,3,3,2,2,0,1,1,2,3,3,1,3,0,1,0,3,3,3,3,2,0,0,2,3,3,2,1,1,0,0,1,2,2,2,2,2,1,2,1,3,3,2,2,1,0,0,1,0,3,2,1,2,0,2,2,0,2,2,2,0,1,1
201507457,3/4/2020 15:04,2/28/1986 0:00,34.1,1,6,4,1,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
